"사망원인별(104항목)","성별","연령(5세)별","시점",사망자수 (명)
"정신 및 행동장애 (F01-F99)","남자","10 - 14세","2021",0
"정신 및 행동장애 (F01-F99)","남자","10 - 14세","2022",0
"정신 및 행동장애 (F01-F99)","남자","15 - 19세","2012",1
"정신 및 행동장애 (F01-F99)","남자","15 - 19세","2013",1
"정신 및 행동장애 (F01-F99)","남자","15 - 19세","2014",0
"정신 및 행동장애 (F01-F99)","남자","15 - 19세","2015",1
"정신 및 행동장애 (F01-F99)","남자","15 - 19세","2016",1
"정신 및 행동장애 (F01-F99)","남자","15 - 19세","2017",0
"정신 및 행동장애 (F01-F99)","남자","15 - 19세","2018",0
"정신 및 행동장애 (F01-F99)","남자","15 - 19세","2019",0
"정신 및 행동장애 (F01-F99)","남자","15 - 19세","2020",0
"정신 및 행동장애 (F01-F99)","남자","15 - 19세","2021",0
"정신 및 행동장애 (F01-F99)","남자","15 - 19세","2022",0
"정신 및 행동장애 (F01-F99)","남자","20 - 24세","2012",2
"정신 및 행동장애 (F01-F99)","남자","20 - 24세","2013",2
"정신 및 행동장애 (F01-F99)","남자","20 - 24세","2014",2
"정신 및 행동장애 (F01-F99)","남자","20 - 24세","2015",0
"정신 및 행동장애 (F01-F99)","남자","20 - 24세","2016",2
"정신 및 행동장애 (F01-F99)","남자","20 - 24세","2017",1
"정신 및 행동장애 (F01-F99)","남자","20 - 24세","2018",0
"정신 및 행동장애 (F01-F99)","남자","20 - 24세","2019",0
"정신 및 행동장애 (F01-F99)","남자","20 - 24세","2020",1
"정신 및 행동장애 (F01-F99)","남자","20 - 24세","2021",1
"정신 및 행동장애 (F01-F99)","남자","20 - 24세","2022",0
"정신 및 행동장애 (F01-F99)","남자","25 - 29세","2012",4
"정신 및 행동장애 (F01-F99)","남자","25 - 29세","2013",4
"정신 및 행동장애 (F01-F99)","남자","25 - 29세","2014",3
"정신 및 행동장애 (F01-F99)","남자","25 - 29세","2015",5
"정신 및 행동장애 (F01-F99)","남자","25 - 29세","2016",4
"정신 및 행동장애 (F01-F99)","남자","25 - 29세","2017",4
"정신 및 행동장애 (F01-F99)","남자","25 - 29세","2018",3
"정신 및 행동장애 (F01-F99)","남자","25 - 29세","2019",2
"정신 및 행동장애 (F01-F99)","남자","25 - 29세","2020",3
"정신 및 행동장애 (F01-F99)","남자","25 - 29세","2021",4
"정신 및 행동장애 (F01-F99)","남자","25 - 29세","2022",8
"정신 및 행동장애 (F01-F99)","남자","30 - 34세","2012",9
"정신 및 행동장애 (F01-F99)","남자","30 - 34세","2013",7
"정신 및 행동장애 (F01-F99)","남자","30 - 34세","2014",3
"정신 및 행동장애 (F01-F99)","남자","30 - 34세","2015",4
"정신 및 행동장애 (F01-F99)","남자","30 - 34세","2016",10
"정신 및 행동장애 (F01-F99)","남자","30 - 34세","2017",3
"정신 및 행동장애 (F01-F99)","남자","30 - 34세","2018",7
"정신 및 행동장애 (F01-F99)","남자","30 - 34세","2019",5
"정신 및 행동장애 (F01-F99)","남자","30 - 34세","2020",10
"정신 및 행동장애 (F01-F99)","남자","30 - 34세","2021",3
"정신 및 행동장애 (F01-F99)","남자","30 - 34세","2022",10
"정신 및 행동장애 (F01-F99)","남자","35 - 39세","2012",27
"정신 및 행동장애 (F01-F99)","남자","35 - 39세","2013",31
"정신 및 행동장애 (F01-F99)","남자","35 - 39세","2014",22
"정신 및 행동장애 (F01-F99)","남자","35 - 39세","2015",20
"정신 및 행동장애 (F01-F99)","남자","35 - 39세","2016",16
"정신 및 행동장애 (F01-F99)","남자","35 - 39세","2017",23
"정신 및 행동장애 (F01-F99)","남자","35 - 39세","2018",20
"정신 및 행동장애 (F01-F99)","남자","35 - 39세","2019",30
"정신 및 행동장애 (F01-F99)","남자","35 - 39세","2020",23
"정신 및 행동장애 (F01-F99)","남자","35 - 39세","2021",18
"정신 및 행동장애 (F01-F99)","남자","35 - 39세","2022",15
"정신 및 행동장애 (F01-F99)","남자","40 - 44세","2012",65
"정신 및 행동장애 (F01-F99)","남자","40 - 44세","2013",48
"정신 및 행동장애 (F01-F99)","남자","40 - 44세","2014",57
"정신 및 행동장애 (F01-F99)","남자","40 - 44세","2015",57
"정신 및 행동장애 (F01-F99)","남자","40 - 44세","2016",54
"정신 및 행동장애 (F01-F99)","남자","40 - 44세","2017",59
"정신 및 행동장애 (F01-F99)","남자","40 - 44세","2018",55
"정신 및 행동장애 (F01-F99)","남자","40 - 44세","2019",45
"정신 및 행동장애 (F01-F99)","남자","40 - 44세","2020",49
"정신 및 행동장애 (F01-F99)","남자","40 - 44세","2021",43
"정신 및 행동장애 (F01-F99)","남자","40 - 44세","2022",41
"정신 및 행동장애 (F01-F99)","남자","45 - 49세","2012",108
"정신 및 행동장애 (F01-F99)","남자","45 - 49세","2013",105
"정신 및 행동장애 (F01-F99)","남자","45 - 49세","2014",96
"정신 및 행동장애 (F01-F99)","남자","45 - 49세","2015",107
"정신 및 행동장애 (F01-F99)","남자","45 - 49세","2016",104
"정신 및 행동장애 (F01-F99)","남자","45 - 49세","2017",131
"정신 및 행동장애 (F01-F99)","남자","45 - 49세","2018",105
"정신 및 행동장애 (F01-F99)","남자","45 - 49세","2019",100
"정신 및 행동장애 (F01-F99)","남자","45 - 49세","2020",108
"정신 및 행동장애 (F01-F99)","남자","45 - 49세","2021",105
"정신 및 행동장애 (F01-F99)","남자","45 - 49세","2022",76
"정신 및 행동장애 (F01-F99)","남자","50 - 54세","2012",167
"정신 및 행동장애 (F01-F99)","남자","50 - 54세","2013",162
"정신 및 행동장애 (F01-F99)","남자","50 - 54세","2014",156
"정신 및 행동장애 (F01-F99)","남자","50 - 54세","2015",166
"정신 및 행동장애 (F01-F99)","남자","50 - 54세","2016",166
"정신 및 행동장애 (F01-F99)","남자","50 - 54세","2017",176
"정신 및 행동장애 (F01-F99)","남자","50 - 54세","2018",157
"정신 및 행동장애 (F01-F99)","남자","50 - 54세","2019",153
"정신 및 행동장애 (F01-F99)","남자","50 - 54세","2020",178
"정신 및 행동장애 (F01-F99)","남자","50 - 54세","2021",149
"정신 및 행동장애 (F01-F99)","남자","50 - 54세","2022",180
"정신 및 행동장애 (F01-F99)","남자","55 - 59세","2012",125
"정신 및 행동장애 (F01-F99)","남자","55 - 59세","2013",139
"정신 및 행동장애 (F01-F99)","남자","55 - 59세","2014",164
"정신 및 행동장애 (F01-F99)","남자","55 - 59세","2015",161
"정신 및 행동장애 (F01-F99)","남자","55 - 59세","2016",176
"정신 및 행동장애 (F01-F99)","남자","55 - 59세","2017",221
"정신 및 행동장애 (F01-F99)","남자","55 - 59세","2018",212
"정신 및 행동장애 (F01-F99)","남자","55 - 59세","2019",204
"정신 및 행동장애 (F01-F99)","남자","55 - 59세","2020",223
"정신 및 행동장애 (F01-F99)","남자","55 - 59세","2021",201
"정신 및 행동장애 (F01-F99)","남자","55 - 59세","2022",223
"정신 및 행동장애 (F01-F99)","남자","60 - 64세","2012",122
"정신 및 행동장애 (F01-F99)","남자","60 - 64세","2013",126
"정신 및 행동장애 (F01-F99)","남자","60 - 64세","2014",113
"정신 및 행동장애 (F01-F99)","남자","60 - 64세","2015",153
"정신 및 행동장애 (F01-F99)","남자","60 - 64세","2016",154
"정신 및 행동장애 (F01-F99)","남자","60 - 64세","2017",176
"정신 및 행동장애 (F01-F99)","남자","60 - 64세","2018",193
"정신 및 행동장애 (F01-F99)","남자","60 - 64세","2019",197
"정신 및 행동장애 (F01-F99)","남자","60 - 64세","2020",247
"정신 및 행동장애 (F01-F99)","남자","60 - 64세","2021",222
"정신 및 행동장애 (F01-F99)","남자","60 - 64세","2022",237
"정신 및 행동장애 (F01-F99)","남자","65 - 69세","2012",124
"정신 및 행동장애 (F01-F99)","남자","65 - 69세","2013",111
"정신 및 행동장애 (F01-F99)","남자","65 - 69세","2014",124
"정신 및 행동장애 (F01-F99)","남자","65 - 69세","2015",98
"정신 및 행동장애 (F01-F99)","남자","65 - 69세","2016",137
"정신 및 행동장애 (F01-F99)","남자","65 - 69세","2017",134
"정신 및 행동장애 (F01-F99)","남자","65 - 69세","2018",145
"정신 및 행동장애 (F01-F99)","남자","65 - 69세","2019",139
"정신 및 행동장애 (F01-F99)","남자","65 - 69세","2020",151
"정신 및 행동장애 (F01-F99)","남자","65 - 69세","2021",140
"정신 및 행동장애 (F01-F99)","남자","65 - 69세","2022",173
"정신 및 행동장애 (F01-F99)","남자","70 - 74세","2012",248
"정신 및 행동장애 (F01-F99)","남자","70 - 74세","2013",215
"정신 및 행동장애 (F01-F99)","남자","70 - 74세","2014",205
"정신 및 행동장애 (F01-F99)","남자","70 - 74세","2015",207
"정신 및 행동장애 (F01-F99)","남자","70 - 74세","2016",173
"정신 및 행동장애 (F01-F99)","남자","70 - 74세","2017",148
"정신 및 행동장애 (F01-F99)","남자","70 - 74세","2018",131
"정신 및 행동장애 (F01-F99)","남자","70 - 74세","2019",166
"정신 및 행동장애 (F01-F99)","남자","70 - 74세","2020",141
"정신 및 행동장애 (F01-F99)","남자","70 - 74세","2021",139
"정신 및 행동장애 (F01-F99)","남자","70 - 74세","2022",144
"정신 및 행동장애 (F01-F99)","남자","75 - 79세","2012",310
"정신 및 행동장애 (F01-F99)","남자","75 - 79세","2013",315
"정신 및 행동장애 (F01-F99)","남자","75 - 79세","2014",290
"정신 및 행동장애 (F01-F99)","남자","75 - 79세","2015",314
"정신 및 행동장애 (F01-F99)","남자","75 - 79세","2016",304
"정신 및 행동장애 (F01-F99)","남자","75 - 79세","2017",306
"정신 및 행동장애 (F01-F99)","남자","75 - 79세","2018",238
"정신 및 행동장애 (F01-F99)","남자","75 - 79세","2019",239
"정신 및 행동장애 (F01-F99)","남자","75 - 79세","2020",207
"정신 및 행동장애 (F01-F99)","남자","75 - 79세","2021",190
"정신 및 행동장애 (F01-F99)","남자","75 - 79세","2022",166
"정신 및 행동장애 (F01-F99)","남자","80세이상","2012",901
"정신 및 행동장애 (F01-F99)","남자","80세이상","2013",872
"정신 및 행동장애 (F01-F99)","남자","80세이상","2014",845
"정신 및 행동장애 (F01-F99)","남자","80세이상","2015",946
"정신 및 행동장애 (F01-F99)","남자","80세이상","2016",968
"정신 및 행동장애 (F01-F99)","남자","80세이상","2017",904
"정신 및 행동장애 (F01-F99)","남자","80세이상","2018",844
"정신 및 행동장애 (F01-F99)","남자","80세이상","2019",814
"정신 및 행동장애 (F01-F99)","남자","80세이상","2020",781
"정신 및 행동장애 (F01-F99)","남자","80세이상","2021",616
"정신 및 행동장애 (F01-F99)","남자","80세이상","2022",662
"정신 및 행동장애 (F01-F99)","남자","80 - 84세","2012",329
"정신 및 행동장애 (F01-F99)","남자","80 - 84세","2013",359
"정신 및 행동장애 (F01-F99)","남자","80 - 84세","2014",345
"정신 및 행동장애 (F01-F99)","남자","80 - 84세","2015",369
"정신 및 행동장애 (F01-F99)","남자","80 - 84세","2016",352
"정신 및 행동장애 (F01-F99)","남자","80 - 84세","2017",349
"정신 및 행동장애 (F01-F99)","남자","80 - 84세","2018",357
"정신 및 행동장애 (F01-F99)","남자","80 - 84세","2019",330
"정신 및 행동장애 (F01-F99)","남자","80 - 84세","2020",316
"정신 및 행동장애 (F01-F99)","남자","80 - 84세","2021",259
"정신 및 행동장애 (F01-F99)","남자","80 - 84세","2022",282
"정신 및 행동장애 (F01-F99)","남자","85 - 89세","2012",343
"정신 및 행동장애 (F01-F99)","남자","85 - 89세","2013",309
"정신 및 행동장애 (F01-F99)","남자","85 - 89세","2014",294
"정신 및 행동장애 (F01-F99)","남자","85 - 89세","2015",328
"정신 및 행동장애 (F01-F99)","남자","85 - 89세","2016",321
"정신 및 행동장애 (F01-F99)","남자","85 - 89세","2017",308
"정신 및 행동장애 (F01-F99)","남자","85 - 89세","2018",265
"정신 및 행동장애 (F01-F99)","남자","85 - 89세","2019",266
"정신 및 행동장애 (F01-F99)","남자","85 - 89세","2020",273
"정신 및 행동장애 (F01-F99)","남자","85 - 89세","2021",207
"정신 및 행동장애 (F01-F99)","남자","85 - 89세","2022",224
"정신 및 행동장애 (F01-F99)","남자","90세이상","2012",229
"정신 및 행동장애 (F01-F99)","남자","90세이상","2013",204
"정신 및 행동장애 (F01-F99)","남자","90세이상","2014",206
"정신 및 행동장애 (F01-F99)","남자","90세이상","2015",249
"정신 및 행동장애 (F01-F99)","남자","90세이상","2016",295
"정신 및 행동장애 (F01-F99)","남자","90세이상","2017",247
"정신 및 행동장애 (F01-F99)","남자","90세이상","2018",222
"정신 및 행동장애 (F01-F99)","남자","90세이상","2019",218
"정신 및 행동장애 (F01-F99)","남자","90세이상","2020",192
"정신 및 행동장애 (F01-F99)","남자","90세이상","2021",150
"정신 및 행동장애 (F01-F99)","남자","90세이상","2022",156
"정신 및 행동장애 (F01-F99)","남자","15세 미만","2012",1
"정신 및 행동장애 (F01-F99)","남자","15세 미만","2013",0
"정신 및 행동장애 (F01-F99)","남자","15세 미만","2014",0
"정신 및 행동장애 (F01-F99)","남자","15세 미만","2015",2
"정신 및 행동장애 (F01-F99)","남자","15세 미만","2016",0
"정신 및 행동장애 (F01-F99)","남자","15세 미만","2017",0
"정신 및 행동장애 (F01-F99)","남자","15세 미만","2018",0
"정신 및 행동장애 (F01-F99)","남자","15세 미만","2019",0
"정신 및 행동장애 (F01-F99)","남자","15세 미만","2020",1
"정신 및 행동장애 (F01-F99)","남자","15세 미만","2021",1
"정신 및 행동장애 (F01-F99)","남자","15세 미만","2022",0
"정신 및 행동장애 (F01-F99)","남자","15 - 64세","2012",630
"정신 및 행동장애 (F01-F99)","남자","15 - 64세","2013",625
"정신 및 행동장애 (F01-F99)","남자","15 - 64세","2014",616
"정신 및 행동장애 (F01-F99)","남자","15 - 64세","2015",674
"정신 및 행동장애 (F01-F99)","남자","15 - 64세","2016",687
"정신 및 행동장애 (F01-F99)","남자","15 - 64세","2017",794
"정신 및 행동장애 (F01-F99)","남자","15 - 64세","2018",752
"정신 및 행동장애 (F01-F99)","남자","15 - 64세","2019",736
"정신 및 행동장애 (F01-F99)","남자","15 - 64세","2020",842
"정신 및 행동장애 (F01-F99)","남자","15 - 64세","2021",746
"정신 및 행동장애 (F01-F99)","남자","15 - 64세","2022",790
"정신 및 행동장애 (F01-F99)","남자","65세 이상","2012",1583
"정신 및 행동장애 (F01-F99)","남자","65세 이상","2013",1513
"정신 및 행동장애 (F01-F99)","남자","65세 이상","2014",1464
"정신 및 행동장애 (F01-F99)","남자","65세 이상","2015",1565
"정신 및 행동장애 (F01-F99)","남자","65세 이상","2016",1582
"정신 및 행동장애 (F01-F99)","남자","65세 이상","2017",1492
"정신 및 행동장애 (F01-F99)","남자","65세 이상","2018",1358
"정신 및 행동장애 (F01-F99)","남자","65세 이상","2019",1358
"정신 및 행동장애 (F01-F99)","남자","65세 이상","2020",1280
"정신 및 행동장애 (F01-F99)","남자","65세 이상","2021",1085
"정신 및 행동장애 (F01-F99)","남자","65세 이상","2022",1145
"정신 및 행동장애 (F01-F99)","남자","연령미상","2012",0
"정신 및 행동장애 (F01-F99)","남자","연령미상","2013",0
"정신 및 행동장애 (F01-F99)","남자","연령미상","2014",0
"정신 및 행동장애 (F01-F99)","남자","연령미상","2015",0
"정신 및 행동장애 (F01-F99)","남자","연령미상","2016",1
"정신 및 행동장애 (F01-F99)","남자","연령미상","2017",0
"정신 및 행동장애 (F01-F99)","남자","연령미상","2018",1
"정신 및 행동장애 (F01-F99)","남자","연령미상","2019",1
"정신 및 행동장애 (F01-F99)","남자","연령미상","2020",1
"정신 및 행동장애 (F01-F99)","남자","연령미상","2021",0
"정신 및 행동장애 (F01-F99)","남자","연령미상","2022",0
"정신 및 행동장애 (F01-F99)","여자","0세","2012",0
"정신 및 행동장애 (F01-F99)","여자","0세","2013",0
"정신 및 행동장애 (F01-F99)","여자","0세","2014",0
"정신 및 행동장애 (F01-F99)","여자","0세","2015",0
"정신 및 행동장애 (F01-F99)","여자","0세","2016",0
"정신 및 행동장애 (F01-F99)","여자","0세","2017",0
"정신 및 행동장애 (F01-F99)","여자","0세","2018",0
"정신 및 행동장애 (F01-F99)","여자","0세","2019",0
"정신 및 행동장애 (F01-F99)","여자","0세","2020",0
"정신 및 행동장애 (F01-F99)","여자","0세","2021",0
"정신 및 행동장애 (F01-F99)","여자","0세","2022",0
"정신 및 행동장애 (F01-F99)","여자","1 - 4세","2012",0
"정신 및 행동장애 (F01-F99)","여자","1 - 4세","2013",0
"정신 및 행동장애 (F01-F99)","여자","1 - 4세","2014",0
"정신 및 행동장애 (F01-F99)","여자","1 - 4세","2015",0
"정신 및 행동장애 (F01-F99)","여자","1 - 4세","2016",0
"정신 및 행동장애 (F01-F99)","여자","1 - 4세","2017",1
"정신 및 행동장애 (F01-F99)","여자","1 - 4세","2018",0
"정신 및 행동장애 (F01-F99)","여자","1 - 4세","2019",0
"정신 및 행동장애 (F01-F99)","여자","1 - 4세","2020",0
"정신 및 행동장애 (F01-F99)","여자","1 - 4세","2021",0
"정신 및 행동장애 (F01-F99)","여자","1 - 4세","2022",0
"정신 및 행동장애 (F01-F99)","여자","5 - 9세","2012",0
"정신 및 행동장애 (F01-F99)","여자","5 - 9세","2013",0
"정신 및 행동장애 (F01-F99)","여자","5 - 9세","2014",0
"정신 및 행동장애 (F01-F99)","여자","5 - 9세","2015",0
"정신 및 행동장애 (F01-F99)","여자","5 - 9세","2016",0
"정신 및 행동장애 (F01-F99)","여자","5 - 9세","2017",0
"정신 및 행동장애 (F01-F99)","여자","5 - 9세","2018",0
"정신 및 행동장애 (F01-F99)","여자","5 - 9세","2019",1
"정신 및 행동장애 (F01-F99)","여자","5 - 9세","2020",0
"정신 및 행동장애 (F01-F99)","여자","5 - 9세","2021",0
"정신 및 행동장애 (F01-F99)","여자","5 - 9세","2022",0
"정신 및 행동장애 (F01-F99)","여자","10 - 14세","2012",1
"정신 및 행동장애 (F01-F99)","여자","10 - 14세","2013",0
"정신 및 행동장애 (F01-F99)","여자","10 - 14세","2014",0
"정신 및 행동장애 (F01-F99)","여자","10 - 14세","2015",1
"정신 및 행동장애 (F01-F99)","여자","10 - 14세","2016",0
"정신 및 행동장애 (F01-F99)","여자","10 - 14세","2017",1
"정신 및 행동장애 (F01-F99)","여자","10 - 14세","2018",0
"정신 및 행동장애 (F01-F99)","여자","10 - 14세","2019",0
"정신 및 행동장애 (F01-F99)","여자","10 - 14세","2020",1
"정신 및 행동장애 (F01-F99)","여자","10 - 14세","2021",0
"정신 및 행동장애 (F01-F99)","여자","10 - 14세","2022",0
"정신 및 행동장애 (F01-F99)","여자","15 - 19세","2012",0
"정신 및 행동장애 (F01-F99)","여자","15 - 19세","2013",0
"정신 및 행동장애 (F01-F99)","여자","15 - 19세","2014",0
"정신 및 행동장애 (F01-F99)","여자","15 - 19세","2015",0
"정신 및 행동장애 (F01-F99)","여자","15 - 19세","2016",1
"정신 및 행동장애 (F01-F99)","여자","15 - 19세","2017",1
"정신 및 행동장애 (F01-F99)","여자","15 - 19세","2018",0
"정신 및 행동장애 (F01-F99)","여자","15 - 19세","2019",1
"정신 및 행동장애 (F01-F99)","여자","15 - 19세","2020",1
"정신 및 행동장애 (F01-F99)","여자","15 - 19세","2021",0
"정신 및 행동장애 (F01-F99)","여자","15 - 19세","2022",1
"정신 및 행동장애 (F01-F99)","여자","20 - 24세","2012",0
"정신 및 행동장애 (F01-F99)","여자","20 - 24세","2013",1
"정신 및 행동장애 (F01-F99)","여자","20 - 24세","2014",1
"정신 및 행동장애 (F01-F99)","여자","20 - 24세","2015",1
"정신 및 행동장애 (F01-F99)","여자","20 - 24세","2016",2
"정신 및 행동장애 (F01-F99)","여자","20 - 24세","2017",3
"정신 및 행동장애 (F01-F99)","여자","20 - 24세","2018",1
"정신 및 행동장애 (F01-F99)","여자","20 - 24세","2019",1
"정신 및 행동장애 (F01-F99)","여자","20 - 24세","2020",2
"정신 및 행동장애 (F01-F99)","여자","20 - 24세","2021",2
"정신 및 행동장애 (F01-F99)","여자","20 - 24세","2022",0
"정신 및 행동장애 (F01-F99)","여자","25 - 29세","2012",3
"정신 및 행동장애 (F01-F99)","여자","25 - 29세","2013",2
"정신 및 행동장애 (F01-F99)","여자","25 - 29세","2014",2
"정신 및 행동장애 (F01-F99)","여자","25 - 29세","2015",1
"정신 및 행동장애 (F01-F99)","여자","25 - 29세","2016",2
"정신 및 행동장애 (F01-F99)","여자","25 - 29세","2017",2
"정신 및 행동장애 (F01-F99)","여자","25 - 29세","2018",2
"정신 및 행동장애 (F01-F99)","여자","25 - 29세","2019",2
"정신 및 행동장애 (F01-F99)","여자","25 - 29세","2020",1
"정신 및 행동장애 (F01-F99)","여자","25 - 29세","2021",5
"정신 및 행동장애 (F01-F99)","여자","25 - 29세","2022",1
"정신 및 행동장애 (F01-F99)","여자","30 - 34세","2012",5
"정신 및 행동장애 (F01-F99)","여자","30 - 34세","2013",3
"정신 및 행동장애 (F01-F99)","여자","30 - 34세","2014",3
"정신 및 행동장애 (F01-F99)","여자","30 - 34세","2015",4
"정신 및 행동장애 (F01-F99)","여자","30 - 34세","2016",3
"정신 및 행동장애 (F01-F99)","여자","30 - 34세","2017",4
"정신 및 행동장애 (F01-F99)","여자","30 - 34세","2018",4
"정신 및 행동장애 (F01-F99)","여자","30 - 34세","2019",4
"정신 및 행동장애 (F01-F99)","여자","30 - 34세","2020",6
"정신 및 행동장애 (F01-F99)","여자","30 - 34세","2021",2
"정신 및 행동장애 (F01-F99)","여자","30 - 34세","2022",4
"정신 및 행동장애 (F01-F99)","여자","35 - 39세","2012",9
"정신 및 행동장애 (F01-F99)","여자","35 - 39세","2013",11
"정신 및 행동장애 (F01-F99)","여자","35 - 39세","2014",6
"정신 및 행동장애 (F01-F99)","여자","35 - 39세","2015",5
"정신 및 행동장애 (F01-F99)","여자","35 - 39세","2016",6
"정신 및 행동장애 (F01-F99)","여자","35 - 39세","2017",13
"정신 및 행동장애 (F01-F99)","여자","35 - 39세","2018",9
"정신 및 행동장애 (F01-F99)","여자","35 - 39세","2019",9
"정신 및 행동장애 (F01-F99)","여자","35 - 39세","2020",13
"정신 및 행동장애 (F01-F99)","여자","35 - 39세","2021",14
"정신 및 행동장애 (F01-F99)","여자","35 - 39세","2022",8
"정신 및 행동장애 (F01-F99)","여자","40 - 44세","2012",8
"정신 및 행동장애 (F01-F99)","여자","40 - 44세","2013",17
"정신 및 행동장애 (F01-F99)","여자","40 - 44세","2014",10
"정신 및 행동장애 (F01-F99)","여자","40 - 44세","2015",12
"정신 및 행동장애 (F01-F99)","여자","40 - 44세","2016",13
"정신 및 행동장애 (F01-F99)","여자","40 - 44세","2017",13
"정신 및 행동장애 (F01-F99)","여자","40 - 44세","2018",15
"정신 및 행동장애 (F01-F99)","여자","40 - 44세","2019",13
"정신 및 행동장애 (F01-F99)","여자","40 - 44세","2020",14
"정신 및 행동장애 (F01-F99)","여자","40 - 44세","2021",13
"정신 및 행동장애 (F01-F99)","여자","40 - 44세","2022",12
"정신 및 행동장애 (F01-F99)","여자","45 - 49세","2012",22
"정신 및 행동장애 (F01-F99)","여자","45 - 49세","2013",20
"정신 및 행동장애 (F01-F99)","여자","45 - 49세","2014",16
"정신 및 행동장애 (F01-F99)","여자","45 - 49세","2015",16
"정신 및 행동장애 (F01-F99)","여자","45 - 49세","2016",24
"정신 및 행동장애 (F01-F99)","여자","45 - 49세","2017",21
"정신 및 행동장애 (F01-F99)","여자","45 - 49세","2018",21
"정신 및 행동장애 (F01-F99)","여자","45 - 49세","2019",20
"정신 및 행동장애 (F01-F99)","여자","45 - 49세","2020",16
"정신 및 행동장애 (F01-F99)","여자","45 - 49세","2021",19
"정신 및 행동장애 (F01-F99)","여자","45 - 49세","2022",16
"정신 및 행동장애 (F01-F99)","여자","50 - 54세","2012",17
"정신 및 행동장애 (F01-F99)","여자","50 - 54세","2013",24
"정신 및 행동장애 (F01-F99)","여자","50 - 54세","2014",16
"정신 및 행동장애 (F01-F99)","여자","50 - 54세","2015",21
"정신 및 행동장애 (F01-F99)","여자","50 - 54세","2016",14
"정신 및 행동장애 (F01-F99)","여자","50 - 54세","2017",23
"정신 및 행동장애 (F01-F99)","여자","50 - 54세","2018",18
"정신 및 행동장애 (F01-F99)","여자","50 - 54세","2019",22
"정신 및 행동장애 (F01-F99)","여자","50 - 54세","2020",28
"정신 및 행동장애 (F01-F99)","여자","50 - 54세","2021",24
"정신 및 행동장애 (F01-F99)","여자","50 - 54세","2022",26
"정신 및 행동장애 (F01-F99)","여자","55 - 59세","2012",21
"정신 및 행동장애 (F01-F99)","여자","55 - 59세","2013",23
"정신 및 행동장애 (F01-F99)","여자","55 - 59세","2014",23
"정신 및 행동장애 (F01-F99)","여자","55 - 59세","2015",22
"정신 및 행동장애 (F01-F99)","여자","55 - 59세","2016",26
"정신 및 행동장애 (F01-F99)","여자","55 - 59세","2017",24
"정신 및 행동장애 (F01-F99)","여자","55 - 59세","2018",26
"정신 및 행동장애 (F01-F99)","여자","55 - 59세","2019",14
"정신 및 행동장애 (F01-F99)","여자","55 - 59세","2020",27
"정신 및 행동장애 (F01-F99)","여자","55 - 59세","2021",24
"정신 및 행동장애 (F01-F99)","여자","55 - 59세","2022",25
"정신 및 행동장애 (F01-F99)","여자","60 - 64세","2012",24
"정신 및 행동장애 (F01-F99)","여자","60 - 64세","2013",26
"정신 및 행동장애 (F01-F99)","여자","60 - 64세","2014",21
"정신 및 행동장애 (F01-F99)","여자","60 - 64세","2015",25
"정신 및 행동장애 (F01-F99)","여자","60 - 64세","2016",27
"정신 및 행동장애 (F01-F99)","여자","60 - 64세","2017",23
"정신 및 행동장애 (F01-F99)","여자","60 - 64세","2018",29
"정신 및 행동장애 (F01-F99)","여자","60 - 64세","2019",27
"정신 및 행동장애 (F01-F99)","여자","60 - 64세","2020",28
"정신 및 행동장애 (F01-F99)","여자","60 - 64세","2021",26
"정신 및 행동장애 (F01-F99)","여자","60 - 64세","2022",30
"정신 및 행동장애 (F01-F99)","여자","65 - 69세","2012",48
"정신 및 행동장애 (F01-F99)","여자","65 - 69세","2013",40
"정신 및 행동장애 (F01-F99)","여자","65 - 69세","2014",35
"정신 및 행동장애 (F01-F99)","여자","65 - 69세","2015",26
"정신 및 행동장애 (F01-F99)","여자","65 - 69세","2016",43
"정신 및 행동장애 (F01-F99)","여자","65 - 69세","2017",36
"정신 및 행동장애 (F01-F99)","여자","65 - 69세","2018",27
"정신 및 행동장애 (F01-F99)","여자","65 - 69세","2019",30
"정신 및 행동장애 (F01-F99)","여자","65 - 69세","2020",33
"정신 및 행동장애 (F01-F99)","여자","65 - 69세","2021",30
"정신 및 행동장애 (F01-F99)","여자","65 - 69세","2022",42
"정신 및 행동장애 (F01-F99)","여자","70 - 74세","2012",127
"정신 및 행동장애 (F01-F99)","여자","70 - 74세","2013",130
"정신 및 행동장애 (F01-F99)","여자","70 - 74세","2014",96
"정신 및 행동장애 (F01-F99)","여자","70 - 74세","2015",99
"정신 및 행동장애 (F01-F99)","여자","70 - 74세","2016",88
"정신 및 행동장애 (F01-F99)","여자","70 - 74세","2017",91
"정신 및 행동장애 (F01-F99)","여자","70 - 74세","2018",49
"정신 및 행동장애 (F01-F99)","여자","70 - 74세","2019",58
"정신 및 행동장애 (F01-F99)","여자","70 - 74세","2020",44
"정신 및 행동장애 (F01-F99)","여자","70 - 74세","2021",49
"정신 및 행동장애 (F01-F99)","여자","70 - 74세","2022",56
"정신 및 행동장애 (F01-F99)","여자","75 - 79세","2012",381
"정신 및 행동장애 (F01-F99)","여자","75 - 79세","2013",321
"정신 및 행동장애 (F01-F99)","여자","75 - 79세","2014",297
"정신 및 행동장애 (F01-F99)","여자","75 - 79세","2015",310
"정신 및 행동장애 (F01-F99)","여자","75 - 79세","2016",247
